epoch,acc,loss,lr,val_acc,val_loss
0,0.7791126370429993,0.0,0.01,0.6692381501197815,0.0
1,0.7791126370429993,0.0,0.01,0.6692381501197815,0.0
2,0.7791126370429993,0.0,0.01,0.6692381501197815,0.0
3,0.7791126370429993,0.0,0.01,0.6692381501197815,0.0
4,0.7791126370429993,0.0,0.0009999999,0.6692381501197815,0.0
5,0.7791126370429993,0.0,0.0009999999,0.6692381501197815,0.0
6,0.7791126370429993,0.0,0.0009999999,0.6692381501197815,0.0
7,0.7791126370429993,0.0,9.999999e-05,0.6692381501197815,0.0
8,0.7791126370429993,0.0,9.999999e-05,0.6692381501197815,0.0
9,0.7791126370429993,0.0,9.999999e-05,0.6692381501197815,0.0
10,0.7791126370429993,0.0,9.999999e-06,0.6692381501197815,0.0
11,0.7791126370429993,0.0,9.999999e-06,0.6692381501197815,0.0
12,0.7791126370429993,0.0,9.999999e-06,0.6692381501197815,0.0
13,0.7791126370429993,0.0,9.999999e-07,0.6692381501197815,0.0
14,0.7791126370429993,0.0,9.999999e-07,0.6692381501197815,0.0
15,0.7791126370429993,0.0,9.999999e-07,0.6692381501197815,0.0
16,0.7791126370429993,0.0,9.999999e-08,0.6692381501197815,0.0
17,0.7791126370429993,0.0,9.999999e-08,0.6692381501197815,0.0
18,0.7791126370429993,0.0,9.999999e-08,0.6692381501197815,0.0
19,0.7791126370429993,0.0,9.999999e-09,0.6692381501197815,0.0
20,0.7791126370429993,0.0,9.999999e-09,0.6692381501197815,0.0
21,0.7791126370429993,0.0,9.999999e-09,0.6692381501197815,0.0
22,0.7791126370429993,0.0,9.999999e-10,0.6692381501197815,0.0
23,0.7791126370429993,0.0,9.999999e-10,0.6692381501197815,0.0
24,0.7791126370429993,0.0,9.999999e-10,0.6692381501197815,0.0
